sourcetype,SubscriberStatus,AccessNoStatus,ServiceLevel,SubscriberStatusDesc
dbx:CerillionBahamasOracle,SN,CU,FULL,Active
dbx:CerillionBahamasOracle,SN,TP,FULL,Active
dbx:CerillionBahamasOracle,SN,RP,FULL,Active
dbx:CerillionBahamasOracle,SN,TR,SUSP,Suspended
dbx:CerillionBahamasOracle,SN,TR,ONWC,Suspended
dbx:CerillionBahamasOracle,SN,TR,PGMC,Suspended
dbx:CerillionBahamasOracle,SN,RE,SUSP,Suspended
dbx:CerillionBahamasOracle,SN,RE,ONWC,Suspended
dbx:CerillionBahamasOracle,SN,RE,PGMC,Suspended
dbx:CerillionBahamasOracle,SF,RE,NONE,Terminated
dbx:CerillionBarbadosOracle,SN,CU,FULL,Active
dbx:CerillionBarbadosOracle,SN,TP,FULL,Active
dbx:CerillionBarbadosOracle,SN,RP,FULL,Active
dbx:CerillionBarbadosOracle,SN,TR,SUSP,Suspended
dbx:CerillionBarbadosOracle,SN,TR,ONWC,Suspended
dbx:CerillionBarbadosOracle,SN,TR,PGMC,Suspended
dbx:CerillionBarbadosOracle,SN,RE,SUSP,Suspended
dbx:CerillionBarbadosOracle,SN,RE,ONWC,Suspended
dbx:CerillionBarbadosOracle,SN,RE,PGMC,Suspended
dbx:CerillionBarbadosOracle,SW,RE,NONE,Terminated
dbx:CerillionJamaicaOracle,SN,CU,FULL,Active
dbx:CerillionJamaicaOracle,SN,TP,FULL,Active
dbx:CerillionJamaicaOracle,SN,RP,FULL,Active
dbx:CerillionJamaicaOracle,SN,TR,SUSP,Suspended
dbx:CerillionJamaicaOracle,SN,TR,ONWC,Suspended
dbx:CerillionJamaicaOracle,SN,TR,PGMC,Suspended
dbx:CerillionJamaicaOracle,SN,RE,SUSP,Suspended
dbx:CerillionJamaicaOracle,SN,RE,ONWC,Suspended
dbx:CerillionJamaicaOracle,SN,RE,PGMC,Suspended
dbx:CerillionJamaicaOracle,SW,RE,NONE,Terminated
